1397,Wens Foodstuff Group,China,$10.06 B,$-2.08 B,$15.19 B,$20.41 B
1405,Maanshan Iron & Steel,China,$17.55 B,$821.4 M,$14.34 B,$3.16 B
1412,Beijing Capital Development,China,$10.05 B,$107.3 M,$49.32 B,$2.31 B
1418,Xiamen International Trade Group,China,$72.02 B,$478.4 M,$15.34 B,$2.54 B
1419,China Grand Automotive Services,China,$26.26 B,$281.3 M,$20.1 B,$2.79 B
1421,China Eastern Airlines,China,$10.41 B,$-1.89 B,$45.31 B,$6.3 B
1426,Guangdong Haid Group,China,$14.04 B,$169.8 M,$6.58 B,$15.44 B
1437,Xiamen Xiangyu,China,$71.65 B,$335 M,$15.04 B,$2.93 B
1441,Sino-Ocean Group Holding,China,$10.33 B,$423.6 M,$44.13 B,$1.52 B
1445,Bank of Chongqing,China,$3.92 B,$640.9 M,$94.82 B,$2.04 B
1461,AVIC Capita,China,$3.42 B,$693.3 M,$71.69 B,$5.46 B
1469,Ningxia Baofeng Energy Group,China,$3.81 B,$1.1 B,$7.38 B,$16.05 B
1473,Orient Securities,China,$3.25 B,$796 M,$51.24 B,$4.1 B
1484,China CSSC Holdings,China,$8.46 B,$83.7 M,$25.04 B,$11.6 B
1493,Bank of Jinzhou,China,$6.16 B,$197.6 M,$133.31 B,$2.05 B
1496,Vipshop Holdings,China,$18.16 B,$728.6 M,$9.77 B,$4.25 B
1498,Sinotruk Hong Kong,China,$14.45 B,$668.2 M,$16.79 B,$3.29 B
1510,Zhongyuan Bank,China,$5.43 B,$552.3 M,$120.54 B,$2.07 B
1539,China Nuclear Engineering Corporation,China,$12.85 B,$222.9 M,$26.26 B,$3.42 B
1550,Huafa Industrial,China,$7.42 B,$495.4 M,$55.71 B,$2.34 B
1551,Tongkun Group,China,$9.71 B,$1.11 B,$10.05 B,$5.69 B
1566,Bank of Guizhou,China,$3.64 B,$574.2 M,$79.06 B,$4.74 B
1575,HNA Technology,China,$41.81 B,$-1.57 B,$1.62 B,$1.21 B
1593,Inner Mongolia Yitai Coal,China,$7.49 B,$1.34 B,$14.51 B,$4.17 B
1601,ZTO Express (Cayman),China,$4.72 B,$738.8 M,$9.85 B,$20.05 B
1602,Tingyi Holding,China,$11.49 B,$589.4 M,$9.46 B,$10.57 B
1615,SDIC Capital,China,$3.15 B,$743.1 M,$38.67 B,$6.76 B
1617,Trip.com Group,China,$3.1 B,$-88 M,$30.1 B,$13.89 B
1621,China Northern Rare Earth High-Tech,China,$4.68 B,$795.4 M,$5.45 B,$17.54 B
1622,Bank of Tianjin,China,$5.5 B,$494.1 M,$112.95 B,$1.55 B
1632,Xinyu Iron & Steel,China,$16.23 B,$652 M,$9.14 B,$2.83 B
1646,China Development Bank Financial Leasing,China,$3.51 B,$608.3 M,$53.63 B,$1.84 B
1649,China Communications Services,China,$20.78 B,$489.2 M,$15.7 B,$2.97 B
1652,Ganfeng Lithium,China,$1.71 B,$811.8 M,$6.13 B,$16.45 B
1658,Sinotrans Ltd.,China,$19.24 B,$575.2 M,$11.66 B,$2.27 B
1659,Will Semiconductor,China,$3.73 B,$694.1 M,$5.03 B,$20.03 B
1660,Harbin Bank,China,$4.43 B,$41.5 M,$101.25 B,$967 M
1663,China Shipbuilding Industry,China,$5.34 B,$-48.2 M,$28.6 B,$13.46 B
1670,Hengyi Petrochemical,China,$18.69 B,$476 M,$16.36 B,$4.45 B
1674,Bank of Zhengzhou,China,$4.43 B,$500.2 M,$90.22 B,$1.63 B
1677,Sunny Optical Technology Group,China,$5.81 B,$773.1 M,$6.08 B,$15.15 B
1678,Zheshang Development Group,China,$27.79 B,$116.6 M,$5.54 B,$974 M
1710,China Industrial Securities,China,$3.25 B,$735.4 M,$34.12 B,$7 B
1713,Sumec Corporation,China,$26.14 B,$-60.1 M,$8.57 B,$1.21 B
1714,Focus Media Information Technology,China,$2.35 B,$956.3 M,$4.15 B,$12.45 B
1719,Hoshine Silicon Industry,China,$2.52 B,$874 M,$4.1 B,$13.76 B
